               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093143,            0.029791,            0.039893,             0.85345,            0.028083,            0.010612,           0.0021802,            0.076759,            0.020598,            0.030066,           0.0033242,           0.0033242,            0.070083
                   1,            0.074565,            0.031049,             0.02352,             0.58082,             0.10205,            0.050248,            0.010747,            0.066427,            0.019328,            0.018142,           0.0066571,           0.0066571,            0.040082
                   2,            0.067305,            0.027999,            0.013117,             0.63118,             0.14859,             0.10443,            0.027684,            0.060421,            0.018388,            0.013441,           0.0099886,           0.0099886,             0.01008
                   3,            0.061959,            0.026859,            0.010169,             0.68643,             0.20716,             0.17412,            0.054957,            0.057666,            0.016739,            0.011653,            0.009995,            0.009995,            0.009995
                   4,            0.057927,            0.026068,           0.0088995,             0.70121,             0.21765,             0.17645,            0.074355,            0.056873,            0.016616,            0.011055,            0.009995,            0.009995,            0.009995
                   5,            0.055337,            0.025532,           0.0075182,              0.6473,              0.2952,             0.28732,             0.11643,            0.051417,            0.015313,           0.0086812,           0.0099911,           0.0099911,           0.0099911
                   6,            0.053867,            0.024867,            0.007254,             0.65523,             0.30339,             0.30462,             0.12541,            0.048907,            0.014439,           0.0072761,           0.0099861,           0.0099861,           0.0099861
                   7,            0.052487,             0.02477,           0.0065427,             0.73652,             0.32348,             0.33733,             0.14545,            0.047811,             0.01462,           0.0087892,             0.00998,             0.00998,             0.00998
                   8,            0.051558,            0.024043,           0.0064271,             0.67249,             0.32746,             0.34977,             0.14883,            0.048043,            0.014408,           0.0084715,           0.0099728,           0.0099728,           0.0099728
                   9,            0.050718,            0.023683,           0.0061236,             0.70737,             0.30692,             0.35162,             0.15644,            0.048344,            0.013676,           0.0071296,           0.0099645,           0.0099645,           0.0099645
                  10,            0.049611,            0.023542,           0.0055092,              0.7539,             0.35223,             0.40321,             0.20045,            0.045228,            0.013628,           0.0072005,           0.0099551,           0.0099551,           0.0099551
                  11,            0.048978,            0.023253,           0.0053745,             0.68577,             0.37281,             0.39934,             0.18755,            0.046413,            0.013827,           0.0063673,           0.0099446,           0.0099446,           0.0099446
                  12,            0.048601,             0.02334,            0.005332,             0.70558,             0.38802,              0.4267,             0.21134,             0.04435,            0.012973,            0.006349,            0.009933,            0.009933,            0.009933
                  13,            0.048105,            0.023007,           0.0048217,             0.75313,             0.39838,             0.44406,             0.22157,            0.043374,            0.013098,           0.0061644,           0.0099203,           0.0099203,           0.0099203
                  14,            0.048057,            0.023192,            0.004626,             0.70469,             0.38019,             0.42643,             0.19983,            0.045284,            0.013227,           0.0057449,           0.0099065,           0.0099065,           0.0099065
                  15,            0.047192,            0.022121,           0.0044846,             0.73586,             0.36865,             0.42802,             0.20703,            0.042943,            0.013064,           0.0059427,           0.0098916,           0.0098916,           0.0098916
                  16,            0.046782,            0.022239,           0.0044125,             0.59481,              0.3727,             0.45266,             0.23381,             0.04263,            0.012539,           0.0063031,           0.0098757,           0.0098757,           0.0098757
                  17,            0.046977,             0.02221,           0.0044203,             0.64737,             0.41422,             0.47613,             0.23347,            0.042761,            0.012481,           0.0057874,           0.0098586,           0.0098586,           0.0098586
                  18,            0.046414,            0.022135,           0.0045701,             0.73609,             0.40526,              0.4759,               0.245,            0.042518,            0.012936,           0.0066465,           0.0098405,           0.0098405,           0.0098405
                  19,            0.046319,            0.021988,           0.0042129,             0.76643,             0.40529,             0.49162,             0.25317,            0.042449,            0.012482,           0.0055675,           0.0098213,           0.0098213,           0.0098213
                  20,            0.045541,            0.022233,            0.004009,             0.81142,              0.3884,             0.47362,             0.25266,             0.04213,            0.012226,           0.0052312,           0.0098011,           0.0098011,           0.0098011
                  21,            0.045657,            0.022073,           0.0043589,             0.61449,             0.42837,             0.44638,             0.23777,            0.041773,            0.012274,           0.0057273,           0.0097798,           0.0097798,           0.0097798
                  22,            0.045365,            0.021817,           0.0038575,             0.74593,             0.46631,             0.52749,             0.27711,            0.041169,            0.012171,           0.0048476,           0.0097574,           0.0097574,           0.0097574
                  23,            0.044422,            0.021904,           0.0035642,              0.6402,             0.44945,             0.46687,             0.24963,            0.041991,            0.012287,           0.0055844,            0.009734,            0.009734,            0.009734
