               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090022,           0.0089788,            0.035505,             0.55923,            0.055442,            0.025652,           0.0083335,            0.077115,            0.015073,            0.022986,            0.003332,            0.003332,            0.070012
                   1,            0.072467,            0.009175,            0.021868,             0.63327,             0.12364,            0.073438,            0.024973,            0.071017,            0.014446,            0.021181,            0.006665,            0.006665,            0.040011
                   2,             0.06931,           0.0086378,            0.018658,             0.61477,             0.13196,             0.09222,            0.032504,            0.069266,            0.014511,            0.017082,           0.0099965,           0.0099965,             0.01001
                   3,            0.067001,           0.0082544,            0.017346,             0.64402,              0.1443,             0.12042,            0.045618,            0.064726,            0.014231,            0.011833,            0.009995,            0.009995,            0.009995
                   4,            0.063095,            0.008062,            0.014924,             0.71477,             0.20125,             0.16256,            0.064041,            0.061085,            0.012826,           0.0096011,            0.009995,            0.009995,            0.009995
                   5,            0.060605,           0.0077832,            0.012749,             0.73755,             0.20679,             0.21014,            0.091029,            0.056616,            0.012658,           0.0078801,           0.0099911,           0.0099911,           0.0099911
                   6,            0.058376,           0.0075967,            0.012067,              0.7776,             0.24244,             0.23955,             0.11096,            0.054207,            0.012053,           0.0074879,           0.0099861,           0.0099861,           0.0099861
                   7,            0.057225,           0.0076124,            0.011704,             0.77522,              0.2417,             0.24527,             0.11161,             0.05355,            0.012405,           0.0072854,             0.00998,             0.00998,             0.00998
                   8,            0.056318,           0.0073845,            0.010873,             0.77003,              0.2663,             0.25226,             0.10451,            0.052711,             0.01264,           0.0075009,           0.0099728,           0.0099728,           0.0099728
                   9,            0.055687,           0.0072511,            0.010064,             0.83058,             0.24951,              0.2904,             0.13133,            0.051134,            0.011917,            0.006038,           0.0099645,           0.0099645,           0.0099645
                  10,            0.055191,           0.0071733,            0.010102,             0.82485,             0.24227,             0.26764,             0.12214,            0.052733,             0.01208,           0.0063637,           0.0099551,           0.0099551,           0.0099551
                  11,            0.054455,           0.0071893,            0.010268,             0.83268,             0.26522,             0.30922,             0.14585,            0.049824,            0.011296,           0.0057602,           0.0099446,           0.0099446,           0.0099446
                  12,            0.053602,           0.0071186,           0.0099525,             0.85109,             0.26833,             0.33386,             0.15264,            0.049811,            0.011315,            0.005801,            0.009933,            0.009933,            0.009933
                  13,            0.052378,           0.0069737,           0.0092622,             0.85961,             0.27979,             0.33424,             0.15779,            0.048284,            0.011174,           0.0054822,           0.0099203,           0.0099203,           0.0099203
                  14,            0.052707,           0.0069546,           0.0090945,             0.85977,             0.27845,             0.32884,             0.15087,            0.048478,            0.011343,           0.0055171,           0.0099065,           0.0099065,           0.0099065
                  15,            0.052341,           0.0070086,           0.0088206,             0.85001,             0.30499,             0.34359,             0.16222,            0.047877,            0.010973,            0.005154,           0.0098916,           0.0098916,           0.0098916
                  16,            0.052076,           0.0069101,           0.0090051,             0.84159,             0.29513,             0.34036,             0.16004,            0.047213,            0.011081,           0.0050646,           0.0098757,           0.0098757,           0.0098757
                  17,            0.051607,           0.0069421,           0.0083815,             0.87188,             0.29366,             0.36839,             0.18053,            0.046676,            0.011064,           0.0049986,           0.0098586,           0.0098586,           0.0098586
                  18,             0.05095,           0.0068443,           0.0077233,             0.71028,             0.37375,             0.34951,             0.17742,            0.045828,             0.01111,           0.0047126,           0.0098405,           0.0098405,           0.0098405
                  19,            0.051275,           0.0067857,           0.0084638,             0.81686,             0.32539,             0.37115,             0.18461,             0.04602,            0.010982,            0.004579,           0.0098213,           0.0098213,           0.0098213
                  20,            0.051054,           0.0067854,            0.007885,             0.88028,             0.29826,             0.38953,             0.19517,            0.045621,            0.010878,           0.0046076,           0.0098011,           0.0098011,           0.0098011
                  21,            0.050457,           0.0067172,           0.0082263,              0.7842,             0.36011,             0.40815,             0.19845,            0.045242,              0.0105,           0.0043976,           0.0097798,           0.0097798,           0.0097798
                  22,            0.050374,           0.0067118,           0.0075494,             0.86667,             0.32426,             0.39637,             0.19678,            0.044922,              0.0105,           0.0041521,           0.0097574,           0.0097574,           0.0097574
                  23,            0.049727,           0.0066475,           0.0079918,             0.57778,             0.38409,             0.42191,             0.21708,            0.044575,            0.010421,           0.0040267,            0.009734,            0.009734,            0.009734
                  24,            0.049699,           0.0068162,           0.0078294,             0.80837,             0.37724,             0.44515,             0.22039,            0.044016,            0.010512,            0.004106,           0.0097095,           0.0097095,           0.0097095
                  25,            0.048888,           0.0066483,           0.0071757,             0.77391,             0.36608,             0.42741,             0.21572,            0.044074,            0.010557,           0.0038067,            0.009684,            0.009684,            0.009684
                  26,            0.048755,           0.0066332,           0.0071742,             0.62844,             0.37899,             0.45487,             0.23803,            0.043837,            0.010303,           0.0037421,           0.0096575,           0.0096575,           0.0096575
                  27,            0.048792,           0.0065385,            0.007316,             0.79471,             0.36712,             0.45614,             0.23628,            0.043583,            0.010281,           0.0036178,           0.0096299,           0.0096299,           0.0096299
                  28,            0.048778,           0.0064949,           0.0064954,             0.78629,             0.37032,             0.44209,             0.22956,            0.043458,            0.010319,           0.0036415,           0.0096013,           0.0096013,           0.0096013
                  29,            0.049293,             0.00663,           0.0070658,             0.74701,             0.40592,             0.45489,             0.23836,            0.043284,            0.010306,           0.0035891,           0.0095717,           0.0095717,           0.0095717
                  30,            0.048258,           0.0065007,           0.0068783,             0.83911,             0.36932,              0.4622,             0.23698,            0.043204,            0.010301,           0.0034853,           0.0095411,           0.0095411,           0.0095411
                  31,            0.048426,           0.0065312,            0.007044,             0.83558,              0.3953,             0.46585,             0.24516,            0.042608,            0.010243,           0.0033023,           0.0095095,           0.0095095,           0.0095095
                  32,            0.048344,           0.0064779,           0.0067122,             0.85674,             0.37368,             0.48298,             0.25143,            0.042607,            0.010141,           0.0034041,           0.0094769,           0.0094769,           0.0094769
                  33,            0.047822,           0.0065401,           0.0066996,             0.86761,             0.34994,             0.48112,             0.25185,            0.042372,            0.010144,           0.0033454,           0.0094434,           0.0094434,           0.0094434
                  34,            0.048285,            0.006469,           0.0068504,             0.81568,             0.39433,             0.48334,             0.25151,            0.042127,            0.010154,           0.0032372,           0.0094088,           0.0094088,           0.0094088
                  35,            0.047947,           0.0065401,           0.0065386,             0.86532,             0.37127,             0.49532,             0.25507,            0.041761,            0.010122,           0.0030827,           0.0093733,           0.0093733,           0.0093733
                  36,            0.047683,           0.0064852,           0.0068474,             0.81115,             0.40916,             0.49746,             0.25611,            0.041651,            0.010102,            0.003073,           0.0093369,           0.0093369,           0.0093369
                  37,            0.047066,           0.0064121,           0.0065019,              0.8036,             0.41569,             0.50259,             0.26119,            0.041483,            0.010098,           0.0031287,           0.0092995,           0.0092995,           0.0092995
