               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087329,            0.024565,            0.034272,             0.73861,             0.22536,             0.21619,            0.089029,             0.06126,            0.013461,            0.015828,           0.0033242,           0.0033242,            0.070083
                   1,            0.063315,            0.021848,            0.011903,             0.73655,             0.27681,             0.22964,            0.088908,            0.057114,            0.013005,            0.010254,           0.0066571,           0.0066571,            0.040082
                   2,            0.059151,            0.021454,           0.0098994,             0.77996,             0.25824,             0.25799,             0.10226,            0.055561,            0.012477,            0.010141,           0.0099886,           0.0099886,             0.01008
                   3,            0.055195,             0.02163,           0.0090338,             0.86213,             0.28055,             0.35735,             0.15875,            0.050789,            0.011986,           0.0087069,            0.009995,            0.009995,            0.009995
                   4,            0.052018,            0.021242,           0.0077021,             0.84605,             0.26563,             0.34575,             0.15359,            0.050597,            0.013131,            0.011753,            0.009995,            0.009995,            0.009995
                   5,            0.050342,            0.021137,           0.0069941,              0.7519,             0.36299,             0.39593,             0.18502,            0.048185,            0.011673,           0.0066615,           0.0099911,           0.0099911,           0.0099911
                   6,            0.048814,            0.020643,           0.0061694,             0.50484,             0.34991,             0.35165,             0.16073,              0.0525,            0.012174,           0.0086078,           0.0099861,           0.0099861,           0.0099861
                   7,             0.04784,            0.020745,           0.0054923,             0.78106,             0.38706,              0.4455,             0.23421,            0.046227,            0.011106,           0.0068209,             0.00998,             0.00998,             0.00998
                   8,            0.047412,            0.020127,           0.0054338,             0.76707,             0.40677,             0.43607,             0.22568,            0.044779,            0.010814,           0.0051791,           0.0099728,           0.0099728,           0.0099728
                   9,              0.0466,            0.019966,           0.0052663,             0.68267,             0.43643,             0.46677,             0.23993,            0.044287,            0.010739,           0.0048754,           0.0099645,           0.0099645,           0.0099645
                  10,            0.045755,            0.019925,           0.0047136,              0.6751,             0.42191,             0.46134,                0.25,            0.043428,            0.010556,           0.0048951,           0.0099551,           0.0099551,           0.0099551
                  11,             0.04517,            0.019706,           0.0046325,             0.68405,             0.41304,             0.46411,             0.25809,            0.044682,            0.011151,           0.0060302,           0.0099446,           0.0099446,           0.0099446
                  12,            0.045102,            0.019839,           0.0045188,             0.63533,             0.50531,             0.51002,             0.27272,            0.042566,            0.010432,           0.0042495,            0.009933,            0.009933,            0.009933
                  13,             0.04444,            0.019321,           0.0041791,             0.65671,             0.43806,             0.47811,             0.25793,            0.042522,            0.010658,           0.0048227,           0.0099203,           0.0099203,           0.0099203
                  14,            0.044324,            0.019527,           0.0039763,             0.71998,             0.46175,               0.513,             0.28575,            0.043906,            0.010455,           0.0042179,           0.0099065,           0.0099065,           0.0099065
                  15,            0.043831,            0.018886,           0.0040577,             0.72257,             0.41136,             0.49964,             0.27313,             0.04289,            0.010703,           0.0045944,           0.0098916,           0.0098916,           0.0098916
                  16,            0.043518,            0.018841,           0.0038902,             0.71992,              0.4863,             0.54175,             0.28331,            0.042733,            0.010653,           0.0047979,           0.0098757,           0.0098757,           0.0098757
                  17,            0.043496,            0.018971,           0.0037743,             0.69994,             0.46704,             0.51716,             0.27831,            0.042096,            0.010403,           0.0042388,           0.0098586,           0.0098586,           0.0098586
                  18,            0.042892,            0.018814,           0.0037636,             0.64829,             0.49042,             0.51648,             0.27566,            0.042704,            0.010658,           0.0041648,           0.0098405,           0.0098405,           0.0098405
                  19,               0.043,            0.018738,           0.0035685,              0.6365,             0.46226,             0.53263,             0.29469,            0.041656,              0.0102,           0.0044042,           0.0098213,           0.0098213,           0.0098213
                  20,            0.042442,            0.018913,            0.003476,             0.76029,             0.46306,             0.56394,             0.31474,            0.040712,            0.010098,           0.0037654,           0.0098011,           0.0098011,           0.0098011
                  21,            0.042669,            0.018781,           0.0038439,             0.69762,             0.48897,             0.56647,             0.31484,             0.04212,            0.010329,           0.0044088,           0.0097798,           0.0097798,           0.0097798
                  22,            0.042153,            0.018641,           0.0034305,             0.74381,             0.49832,             0.57231,             0.31205,            0.040851,            0.010018,           0.0041261,           0.0097574,           0.0097574,           0.0097574
                  23,            0.041595,            0.018765,           0.0033229,             0.68328,             0.48983,             0.59064,             0.33762,            0.041338,            0.010357,           0.0040379,            0.009734,            0.009734,            0.009734
                  24,            0.041548,             0.01823,           0.0030361,             0.79185,             0.45466,             0.60239,             0.32888,            0.041429,            0.010102,           0.0033864,           0.0097095,           0.0097095,           0.0097095
                  25,            0.041637,            0.018478,           0.0032125,             0.74068,             0.49638,             0.55296,             0.32386,            0.039496,           0.0097738,           0.0038148,            0.009684,            0.009684,            0.009684
                  26,            0.041333,            0.018395,           0.0031904,             0.72329,             0.50809,              0.6445,             0.36825,            0.039452,           0.0098465,           0.0033375,           0.0096575,           0.0096575,           0.0096575
                  27,              0.0408,            0.018029,            0.002992,             0.72893,             0.52952,             0.64104,             0.37256,            0.040031,           0.0099466,           0.0035356,           0.0096299,           0.0096299,           0.0096299
                  28,            0.041152,            0.018209,           0.0029982,             0.72095,             0.47777,             0.61676,             0.35437,            0.040511,            0.010107,           0.0031596,           0.0096013,           0.0096013,           0.0096013
                  29,             0.04062,             0.01812,            0.002982,             0.75708,             0.49102,             0.66015,              0.3737,            0.038966,           0.0097583,           0.0030529,           0.0095717,           0.0095717,           0.0095717
                  30,            0.040731,            0.018259,           0.0028553,             0.80427,             0.48482,             0.66368,             0.39759,            0.038883,           0.0096127,            0.003205,           0.0095411,           0.0095411,           0.0095411
                  31,            0.039859,            0.018155,           0.0028468,             0.82801,             0.49345,             0.68338,             0.38331,            0.038536,           0.0097488,           0.0032573,           0.0095095,           0.0095095,           0.0095095
                  32,            0.040552,            0.018127,           0.0027012,             0.71901,              0.5428,             0.67157,             0.39275,            0.038222,           0.0096115,           0.0030461,           0.0094769,           0.0094769,           0.0094769
                  33,             0.03999,            0.017771,           0.0028102,             0.76492,             0.49872,             0.68767,              0.4054,              0.0379,           0.0096571,            0.003227,           0.0094434,           0.0094434,           0.0094434
                  34,            0.040021,            0.017885,           0.0028391,             0.69599,             0.57615,             0.69762,             0.39667,            0.039023,           0.0096379,            0.003097,           0.0094088,           0.0094088,           0.0094088
                  35,            0.040007,            0.017514,           0.0029216,             0.78178,             0.46862,             0.65625,             0.38059,            0.038356,           0.0095841,           0.0032854,           0.0093733,           0.0093733,           0.0093733
                  36,            0.039549,            0.017951,           0.0027862,             0.75708,             0.53264,             0.67656,             0.38119,            0.038332,           0.0095746,           0.0028927,           0.0093369,           0.0093369,           0.0093369
                  37,            0.039334,            0.017728,           0.0027743,             0.74309,             0.51042,             0.66216,             0.38912,            0.037686,           0.0094945,           0.0031031,           0.0092995,           0.0092995,           0.0092995
                  38,            0.039487,            0.017601,           0.0026466,             0.55525,             0.63867,             0.66414,             0.38756,            0.037872,           0.0095631,            0.002827,           0.0092611,           0.0092611,           0.0092611
                  39,            0.039071,             0.01771,           0.0025622,             0.76956,             0.50503,             0.68517,             0.39424,            0.037537,           0.0093363,           0.0030194,           0.0092219,           0.0092219,           0.0092219
                  40,            0.039006,            0.017355,           0.0026453,             0.79164,             0.51165,             0.67398,             0.40186,            0.037615,           0.0094244,           0.0027106,           0.0091817,           0.0091817,           0.0091817
                  41,            0.039102,            0.017747,            0.002793,              0.7554,              0.5253,             0.69566,             0.40409,            0.037706,           0.0092798,           0.0026354,           0.0091406,           0.0091406,           0.0091406
                  42,            0.039128,            0.017589,           0.0026596,             0.58238,             0.70798,             0.70287,             0.40033,            0.037467,           0.0094481,           0.0025808,           0.0090986,           0.0090986,           0.0090986
                  43,            0.038867,            0.017489,           0.0024931,             0.62608,             0.61146,             0.68886,             0.40766,            0.036805,           0.0093035,           0.0025997,           0.0090557,           0.0090557,           0.0090557
                  44,            0.038831,            0.017573,           0.0024225,             0.52314,             0.70441,             0.69585,             0.41294,             0.03714,           0.0092641,           0.0027315,           0.0090119,           0.0090119,           0.0090119
                  45,             0.03864,            0.017216,           0.0024549,             0.62734,             0.69421,              0.7106,              0.4178,            0.036681,           0.0090977,           0.0024952,           0.0089673,           0.0089673,           0.0089673
                  46,            0.038637,            0.017224,           0.0027065,             0.75343,             0.54846,             0.68691,             0.40748,            0.037084,           0.0092815,           0.0027087,           0.0089218,           0.0089218,           0.0089218
                  47,            0.037969,            0.017396,           0.0022685,             0.59287,             0.68606,             0.72218,             0.42518,            0.036152,           0.0092227,           0.0025337,           0.0088755,           0.0088755,           0.0088755
                  48,              0.0383,            0.017256,           0.0025186,             0.59635,             0.66045,             0.68947,             0.42468,            0.036723,           0.0091794,            0.002445,           0.0088283,           0.0088283,           0.0088283
                  49,             0.03815,            0.016881,           0.0021883,             0.67492,             0.65926,             0.72681,             0.43412,             0.03637,           0.0092272,           0.0023523,           0.0087804,           0.0087804,           0.0087804
                  50,            0.038261,            0.017193,           0.0024093,             0.62007,              0.7072,             0.71889,             0.42641,            0.036471,           0.0090997,           0.0025143,           0.0087316,           0.0087316,           0.0087316
                  51,            0.038056,            0.016935,           0.0023278,             0.60775,             0.72387,             0.72825,             0.44174,            0.035863,           0.0090552,           0.0025199,            0.008682,            0.008682,            0.008682
