               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087107,            0.010354,            0.034435,             0.85314,            0.032635,            0.030228,           0.0066824,             0.07087,             0.01826,            0.021441,            0.003332,            0.003332,            0.070012
                   1,            0.070975,            0.010182,            0.020057,             0.59765,             0.13715,             0.06754,            0.017937,            0.065345,             0.01694,            0.017474,            0.006665,            0.006665,            0.040012
                   2,            0.067974,            0.009607,            0.018024,             0.62265,             0.11604,            0.080058,            0.021948,            0.063553,            0.016172,            0.012948,           0.0099964,           0.0099964,             0.01001
                   3,             0.06605,           0.0092645,            0.016114,             0.70774,             0.18299,             0.13485,            0.045336,            0.059001,             0.01544,            0.010293,            0.009995,            0.009995,            0.009995
                   4,            0.061857,           0.0088145,            0.013446,             0.69418,             0.24506,             0.16624,            0.058606,            0.058162,            0.018935,           0.0093723,            0.009995,            0.009995,            0.009995
                   5,            0.059639,           0.0086996,            0.012468,             0.72256,             0.23239,             0.18751,            0.077107,            0.055134,            0.015796,           0.0096595,           0.0099911,           0.0099911,           0.0099911
                   6,            0.057678,           0.0086041,            0.011783,             0.80471,             0.22219,             0.24538,            0.099449,             0.05328,            0.014355,            0.007095,           0.0099861,           0.0099861,           0.0099861
                   7,            0.056553,           0.0083895,            0.010883,             0.79074,             0.23287,             0.25828,             0.11277,            0.051276,             0.01444,           0.0071083,             0.00998,             0.00998,             0.00998
                   8,            0.055642,           0.0081936,            0.010504,             0.83437,             0.23198,             0.27254,             0.11484,             0.05076,            0.013932,           0.0065745,           0.0099728,           0.0099728,           0.0099728
                   9,            0.054518,           0.0081695,           0.0099309,             0.77228,             0.24833,             0.25004,             0.11236,            0.050804,            0.014187,           0.0062274,           0.0099645,           0.0099645,           0.0099645
                  10,            0.053953,           0.0079589,           0.0095768,             0.83899,             0.24765,             0.30577,             0.13427,            0.050697,            0.013838,           0.0061965,           0.0099551,           0.0099551,           0.0099551
                  11,            0.052707,           0.0079013,           0.0088905,             0.83246,             0.28129,             0.32404,             0.14265,            0.047884,            0.013407,           0.0054396,           0.0099446,           0.0099446,           0.0099446
                  12,             0.05212,           0.0077502,           0.0085785,             0.83974,             0.27729,             0.30862,             0.14604,            0.047845,            0.013121,           0.0053197,            0.009933,            0.009933,            0.009933
                  13,            0.052066,             0.00776,           0.0082395,             0.84835,             0.30009,              0.3424,             0.15564,            0.046974,             0.01307,           0.0049587,           0.0099203,           0.0099203,           0.0099203
                  14,             0.05207,           0.0076654,            0.008387,             0.73444,             0.30124,             0.36225,             0.18094,            0.046539,            0.012903,           0.0048458,           0.0099065,           0.0099065,           0.0099065
                  15,             0.05139,           0.0076192,           0.0079549,             0.87308,             0.29382,             0.37197,             0.17496,            0.045695,            0.012925,           0.0045778,           0.0098916,           0.0098916,           0.0098916
                  16,            0.050895,           0.0076906,           0.0080613,             0.85466,             0.29586,             0.39349,             0.18655,            0.045237,            0.012726,           0.0045931,           0.0098757,           0.0098757,           0.0098757
                  17,            0.050533,           0.0075088,           0.0078907,             0.88107,             0.29295,             0.40576,             0.19499,            0.044903,            0.012895,           0.0044261,           0.0098586,           0.0098586,           0.0098586
                  18,             0.05016,           0.0076588,           0.0072753,             0.89586,             0.29879,             0.41556,             0.21322,            0.044358,            0.012356,           0.0043623,           0.0098405,           0.0098405,           0.0098405
                  19,            0.050099,           0.0073943,           0.0072526,             0.86185,             0.30781,             0.39984,             0.20719,             0.04379,            0.012399,           0.0043778,           0.0098213,           0.0098213,           0.0098213
                  20,             0.04921,           0.0074153,           0.0068633,             0.81103,              0.3438,             0.43054,             0.22423,            0.042836,            0.012125,           0.0039802,           0.0098011,           0.0098011,           0.0098011
