               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089072,            0.009133,            0.035206,             0.69346,              0.0702,            0.015483,           0.0032808,            0.077026,            0.015523,            0.023655,            0.003332,            0.003332,            0.070012
                   1,            0.073152,           0.0093755,            0.021566,             0.58871,              0.1016,            0.069208,             0.02136,            0.071298,            0.014394,            0.016791,            0.006665,            0.006665,            0.040012
                   2,            0.069621,           0.0088468,            0.019184,             0.62504,             0.15908,            0.080042,            0.030602,            0.067776,            0.014757,            0.014341,           0.0099964,           0.0099964,             0.01001
                   3,            0.066815,           0.0084984,            0.017312,             0.67866,             0.19111,             0.12328,            0.048252,            0.062082,            0.014989,            0.013272,            0.009995,            0.009995,            0.009995
                   4,            0.062789,           0.0080755,            0.014518,             0.72489,             0.17311,             0.16547,            0.071969,            0.059566,            0.012966,           0.0094729,            0.009995,            0.009995,            0.009995
                   5,            0.060314,           0.0079372,            0.013217,             0.70234,             0.24633,              0.1711,            0.067356,            0.057131,            0.013767,           0.0088611,           0.0099911,           0.0099911,           0.0099911
                   6,            0.058411,           0.0077531,             0.01222,             0.77219,             0.22076,              0.2102,            0.086212,            0.054763,             0.01225,           0.0085396,           0.0099861,           0.0099861,           0.0099861
                   7,            0.057553,           0.0076183,            0.012264,             0.79064,             0.24466,             0.24383,            0.095839,            0.053723,            0.012121,           0.0067248,             0.00998,             0.00998,             0.00998
                   8,            0.056542,           0.0074725,            0.011584,             0.81567,             0.22609,             0.26932,             0.11707,            0.053249,            0.011737,           0.0070265,           0.0099728,           0.0099728,           0.0099728
                   9,            0.055411,           0.0074508,            0.011017,              0.8156,             0.25165,             0.27796,              0.1274,            0.051941,            0.011724,           0.0063547,           0.0099645,           0.0099645,           0.0099645
                  10,            0.054839,           0.0072581,            0.010558,             0.80651,             0.25574,             0.26726,             0.11985,            0.051744,            0.011908,            0.006211,           0.0099551,           0.0099551,           0.0099551
                  11,            0.053746,           0.0072692,            0.010058,             0.81569,             0.27319,             0.32106,             0.14306,            0.049904,            0.011514,           0.0057537,           0.0099446,           0.0099446,           0.0099446
