               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0896,            0.021767,            0.035405,             0.74246,             0.20323,             0.20855,            0.088942,            0.063707,             0.01198,             0.01632,           0.0033242,           0.0033242,            0.070083
                   1,             0.06392,            0.020082,            0.012964,             0.78221,             0.27334,             0.26171,             0.10878,            0.058284,            0.010639,           0.0099049,           0.0066571,           0.0066571,            0.040082
                   2,            0.059791,            0.019833,            0.011124,             0.72204,             0.22868,             0.17409,            0.072976,            0.061149,            0.011441,            0.016093,           0.0099886,           0.0099886,             0.01008
                   3,            0.055777,              0.0198,            0.010244,              0.8212,             0.27889,              0.3296,             0.15662,            0.052695,            0.010513,           0.0091577,            0.009995,            0.009995,            0.009995
                   4,            0.052656,            0.019743,           0.0088477,             0.82176,             0.28952,             0.32727,             0.14201,            0.052385,             0.01057,            0.008603,            0.009995,            0.009995,            0.009995
                   5,            0.051152,            0.019399,           0.0075045,             0.87121,              0.3289,             0.41508,              0.1952,            0.049309,           0.0099574,           0.0074523,           0.0099911,           0.0099911,           0.0099911
                   6,            0.049757,             0.01903,           0.0070346,             0.64555,             0.34427,              0.4087,             0.19619,            0.048262,           0.0099655,           0.0070881,           0.0099861,           0.0099861,           0.0099861
                   7,            0.048839,            0.019108,           0.0066078,             0.78458,             0.39068,             0.42493,             0.20244,             0.04749,           0.0099213,           0.0061268,             0.00998,             0.00998,             0.00998
                   8,            0.047448,            0.018599,           0.0059539,             0.63381,             0.42752,             0.44885,             0.21286,            0.046908,           0.0097961,           0.0060341,           0.0099728,           0.0099728,           0.0099728
                   9,            0.047118,            0.018351,           0.0057825,              0.7959,             0.38898,             0.45835,              0.2404,            0.046278,           0.0094883,           0.0056473,           0.0099645,           0.0099645,           0.0099645
                  10,            0.046559,            0.018521,           0.0057185,             0.72447,             0.40105,             0.45839,             0.24159,            0.044897,           0.0095771,           0.0047482,           0.0099551,           0.0099551,           0.0099551
                  11,            0.045931,            0.018356,           0.0053786,              0.8065,             0.41495,             0.51085,             0.27162,            0.043939,           0.0092182,           0.0045436,           0.0099446,           0.0099446,           0.0099446
                  12,            0.045568,            0.018303,           0.0049649,             0.73251,             0.41406,             0.45789,             0.25631,            0.043829,           0.0091188,           0.0051567,            0.009933,            0.009933,            0.009933
                  13,            0.045237,            0.018097,           0.0047435,             0.68345,             0.42448,             0.48584,             0.26807,             0.04389,             0.00917,           0.0044356,           0.0099203,           0.0099203,           0.0099203
                  14,            0.045262,            0.018242,           0.0048057,             0.75813,              0.4477,             0.51918,             0.28449,            0.044377,           0.0092843,           0.0043061,           0.0099065,           0.0099065,           0.0099065
                  15,             0.04417,            0.017578,           0.0048523,             0.66083,             0.49611,             0.51466,               0.276,            0.043136,           0.0091317,            0.003904,           0.0098916,           0.0098916,           0.0098916
                  16,            0.044468,            0.017606,           0.0046189,             0.73805,             0.44769,             0.52072,             0.28891,            0.042732,           0.0090608,            0.005203,           0.0098757,           0.0098757,           0.0098757
                  17,            0.043996,            0.017585,           0.0044966,              0.7076,             0.44124,             0.49727,             0.26885,            0.045475,           0.0095838,           0.0051278,           0.0098586,           0.0098586,           0.0098586
                  18,            0.043813,            0.017557,           0.0044805,             0.73879,             0.41237,             0.49146,              0.2654,            0.044043,           0.0092439,           0.0060956,           0.0098405,           0.0098405,           0.0098405
                  19,            0.043837,            0.017235,           0.0037136,             0.73429,             0.44312,             0.54582,             0.29222,            0.042907,            0.008895,           0.0039562,           0.0098213,           0.0098213,           0.0098213
                  20,            0.043313,            0.017539,           0.0038921,             0.82205,             0.44517,             0.54164,             0.30929,             0.04219,           0.0087961,           0.0043631,           0.0098011,           0.0098011,           0.0098011
                  21,            0.043122,            0.017247,           0.0040609,             0.71433,             0.48211,             0.52667,             0.27419,             0.04229,           0.0091113,           0.0042908,           0.0097798,           0.0097798,           0.0097798
                  22,            0.042846,            0.017279,           0.0037887,             0.80508,             0.44088,             0.59505,             0.31557,            0.042672,           0.0089831,           0.0040897,           0.0097574,           0.0097574,           0.0097574
                  23,             0.04239,            0.017416,           0.0035914,             0.69862,             0.47588,             0.54641,              0.3107,              0.0419,           0.0089791,           0.0040021,            0.009734,            0.009734,            0.009734
                  24,            0.042071,            0.016979,           0.0036633,             0.79395,             0.46153,             0.59903,             0.33433,            0.041357,           0.0087376,           0.0040024,           0.0097095,           0.0097095,           0.0097095
                  25,            0.042073,            0.017114,           0.0034927,              0.8654,             0.45405,             0.56611,             0.31463,            0.040735,           0.0086348,           0.0040733,            0.009684,            0.009684,            0.009684
                  26,            0.041823,            0.017111,           0.0039174,             0.74424,             0.49135,             0.61289,             0.35601,            0.040079,           0.0085955,           0.0036931,           0.0096575,           0.0096575,           0.0096575
                  27,            0.041514,            0.016873,           0.0035319,             0.81512,             0.49721,             0.63471,             0.34996,            0.040157,           0.0085722,           0.0035684,           0.0096299,           0.0096299,           0.0096299
                  28,            0.041888,            0.016932,            0.003774,             0.78279,             0.51959,             0.65883,              0.3581,            0.040814,           0.0085648,           0.0035157,           0.0096013,           0.0096013,           0.0096013
                  29,            0.041238,            0.016878,           0.0036513,             0.75226,             0.49118,             0.63741,             0.36916,            0.040094,           0.0085242,           0.0035767,           0.0095717,           0.0095717,           0.0095717
                  30,            0.041504,             0.01691,           0.0033035,             0.78386,              0.4582,             0.62632,             0.35143,            0.040631,           0.0085503,           0.0032451,           0.0095411,           0.0095411,           0.0095411
                  31,             0.04069,            0.016942,           0.0034606,             0.74225,             0.53819,             0.65632,             0.36608,            0.040366,            0.008523,           0.0042495,           0.0095095,           0.0095095,           0.0095095
                  32,            0.041654,            0.016997,           0.0034687,             0.75016,             0.54338,               0.646,             0.35516,            0.039682,           0.0084846,           0.0036661,           0.0094769,           0.0094769,           0.0094769
                  33,            0.040828,            0.016489,           0.0030765,             0.73347,             0.53908,             0.65612,             0.36373,            0.039655,           0.0084333,           0.0032616,           0.0094434,           0.0094434,           0.0094434
                  34,            0.040544,             0.01662,           0.0033372,             0.78068,             0.51321,             0.64752,             0.37047,            0.039682,           0.0084583,           0.0035878,           0.0094088,           0.0094088,           0.0094088
                  35,            0.040564,            0.016256,           0.0031547,             0.79564,             0.50101,             0.67334,             0.37024,            0.038995,           0.0083108,            0.003004,           0.0093733,           0.0093733,           0.0093733
