               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096059,            0.025601,            0.041227,              0.1958,            0.022792,             0.01345,           0.0041291,            0.083879,            0.018148,            0.031442,           0.0033242,           0.0033242,            0.070083
                   1,             0.07796,            0.027967,            0.025485,             0.64327,             0.13774,            0.095948,            0.022679,            0.065815,            0.017915,            0.019299,           0.0066571,           0.0066571,            0.040082
                   2,            0.068961,            0.025176,            0.014737,             0.70866,             0.16981,             0.15497,            0.049472,            0.062127,            0.015273,             0.01457,           0.0099886,           0.0099886,             0.01008
                   3,            0.063081,            0.024053,            0.011356,             0.71191,             0.19987,             0.17643,             0.05932,            0.060255,            0.014854,            0.012087,            0.009995,            0.009995,            0.009995
                   4,            0.059136,            0.023387,            0.009867,             0.71558,             0.21982,             0.19083,            0.081356,            0.057671,             0.01357,           0.0093236,            0.009995,            0.009995,            0.009995
                   5,             0.05647,            0.022964,            0.008591,             0.79226,             0.28078,             0.28122,             0.11136,            0.053374,            0.013284,           0.0095403,           0.0099911,           0.0099911,           0.0099911
                   6,            0.054953,            0.022316,           0.0080875,              0.8124,             0.26691,             0.28143,             0.12027,            0.052577,            0.012974,           0.0086761,           0.0099861,           0.0099861,           0.0099861
                   7,            0.053679,            0.022439,           0.0075955,             0.77451,             0.29218,             0.28217,             0.11766,            0.054657,            0.012769,            0.010049,             0.00998,             0.00998,             0.00998
                   8,            0.052828,            0.021728,           0.0071596,              0.7366,             0.31709,             0.35407,             0.16226,            0.048947,            0.012138,           0.0074834,           0.0099728,           0.0099728,           0.0099728
                   9,            0.051549,             0.02133,           0.0066827,             0.81089,             0.30062,             0.35215,             0.16152,            0.049399,            0.011653,           0.0074996,           0.0099645,           0.0099645,           0.0099645
                  10,            0.050565,            0.021423,           0.0064074,             0.79093,             0.34116,             0.39646,             0.18892,             0.04833,            0.011655,           0.0075594,           0.0099551,           0.0099551,           0.0099551
                  11,            0.049823,            0.021257,            0.006174,             0.73772,              0.3563,             0.39339,             0.19338,            0.048205,            0.011827,           0.0071102,           0.0099446,           0.0099446,           0.0099446
                  12,            0.049678,            0.021173,            0.005865,             0.72706,             0.39136,             0.41155,              0.1968,            0.047172,            0.011376,           0.0063718,            0.009933,            0.009933,            0.009933
                  13,            0.048604,            0.020762,           0.0054394,             0.76764,             0.38039,             0.44115,              0.2148,            0.046292,            0.011328,           0.0061836,           0.0099203,           0.0099203,           0.0099203
                  14,            0.048737,            0.021033,           0.0054435,             0.74251,             0.35378,             0.38504,              0.1778,            0.048106,            0.011622,           0.0068006,           0.0099065,           0.0099065,           0.0099065
                  15,            0.048004,            0.020088,           0.0054157,             0.80674,             0.37433,             0.44117,             0.21937,            0.044897,            0.011016,           0.0055957,           0.0098916,           0.0098916,           0.0098916
                  16,            0.047659,            0.020128,            0.005292,              0.8369,             0.37177,             0.46262,             0.23361,            0.045566,            0.010883,           0.0058226,           0.0098757,           0.0098757,           0.0098757
                  17,            0.047388,            0.020283,           0.0052108,             0.77032,             0.37202,             0.43035,             0.20718,            0.045747,            0.011116,           0.0055004,           0.0098586,           0.0098586,           0.0098586
                  18,            0.047052,            0.020201,           0.0051528,             0.61017,             0.38231,              0.4598,             0.23043,            0.044681,            0.011162,           0.0055787,           0.0098405,           0.0098405,           0.0098405
                  19,            0.046915,            0.020021,           0.0047654,             0.79408,             0.37762,             0.47627,             0.24305,            0.044243,            0.010848,           0.0049154,           0.0098213,           0.0098213,           0.0098213
                  20,            0.046618,            0.020333,           0.0047456,             0.77009,             0.39279,             0.47515,             0.24615,            0.044081,             0.01089,           0.0053884,           0.0098011,           0.0098011,           0.0098011
                  21,            0.046463,            0.019951,           0.0047891,             0.82767,             0.38965,             0.46391,             0.23519,            0.043383,            0.010844,            0.005088,           0.0097798,           0.0097798,           0.0097798
                  22,            0.046102,            0.020023,           0.0046237,             0.78609,             0.40004,             0.51978,             0.27085,            0.043116,             0.01056,           0.0048678,           0.0097574,           0.0097574,           0.0097574
