               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093355,            0.030029,            0.039896,             0.70638,            0.017908,            0.011763,           0.0022912,            0.077183,            0.020657,            0.030822,           0.0033242,           0.0033242,            0.070083
                   1,            0.074486,             0.03161,            0.023805,             0.63024,             0.10554,            0.070711,            0.016298,            0.064445,            0.023067,            0.018489,           0.0066571,           0.0066571,            0.040082
                   2,            0.067161,            0.028432,            0.013311,             0.65509,             0.15231,             0.12289,            0.032815,            0.062529,            0.019092,            0.014798,           0.0099886,           0.0099886,             0.01008
                   3,            0.062044,            0.027115,            0.010343,             0.62611,             0.19663,             0.14027,            0.036904,            0.060534,            0.018203,            0.016139,            0.009995,            0.009995,            0.009995
                   4,            0.057899,            0.026134,           0.0086421,             0.70631,             0.23428,             0.21348,              0.0804,            0.053897,            0.015539,           0.0089714,            0.009995,            0.009995,            0.009995
                   5,            0.055418,            0.025569,            0.007236,             0.65915,              0.2917,             0.30199,             0.11453,            0.050063,            0.015078,           0.0083384,           0.0099911,           0.0099911,           0.0099911
                   6,             0.05387,            0.024912,           0.0070915,             0.68287,             0.21778,             0.26496,             0.10376,            0.051457,            0.015699,             0.01136,           0.0099861,           0.0099861,           0.0099861
                   7,            0.052458,            0.024881,           0.0064905,             0.84736,             0.28285,             0.35617,             0.15263,            0.047419,            0.014616,           0.0080175,             0.00998,             0.00998,             0.00998
                   8,            0.051425,            0.024235,           0.0061549,              0.6972,             0.27341,             0.31837,             0.13369,            0.047597,            0.014383,           0.0084329,           0.0099728,           0.0099728,           0.0099728
                   9,            0.050485,            0.023788,           0.0059316,             0.65336,             0.35703,             0.36612,               0.161,            0.047662,             0.01406,           0.0073964,           0.0099645,           0.0099645,           0.0099645
                  10,            0.049424,            0.023703,           0.0055701,             0.72273,             0.37418,             0.39248,             0.18875,            0.044719,            0.013878,           0.0070393,           0.0099551,           0.0099551,           0.0099551
                  11,            0.048819,            0.023545,           0.0052276,             0.73747,             0.38177,             0.41038,             0.19919,            0.045191,            0.013624,           0.0063859,           0.0099446,           0.0099446,           0.0099446
                  12,            0.048496,            0.023488,           0.0050864,             0.74396,              0.3643,             0.41894,             0.19873,            0.044619,            0.013358,           0.0061376,            0.009933,            0.009933,            0.009933
                  13,            0.047845,             0.02305,            0.004839,             0.74442,             0.38029,             0.44346,             0.21648,            0.043573,            0.013599,           0.0059388,           0.0099203,           0.0099203,           0.0099203
                  14,            0.047645,            0.023367,           0.0046164,             0.73794,             0.38133,             0.40899,             0.19789,            0.044557,            0.013354,           0.0056176,           0.0099065,           0.0099065,           0.0099065
                  15,            0.047157,            0.022309,           0.0045677,             0.66608,             0.38688,             0.41787,             0.20292,            0.043837,            0.013341,           0.0092996,           0.0098916,           0.0098916,           0.0098916
                  16,            0.046748,            0.022549,           0.0045297,             0.78405,             0.34059,             0.46547,             0.23606,            0.042764,            0.013269,           0.0052011,           0.0098757,           0.0098757,           0.0098757
                  17,            0.046893,            0.022529,           0.0044754,             0.66937,             0.40417,             0.45287,             0.22006,            0.043281,            0.013253,           0.0055189,           0.0098586,           0.0098586,           0.0098586
                  18,            0.046347,            0.022285,           0.0043993,             0.77177,             0.38746,             0.47197,             0.24732,            0.042008,            0.013265,           0.0049022,           0.0098405,           0.0098405,           0.0098405
                  19,            0.046107,            0.022085,           0.0039928,              0.7447,             0.39158,             0.48003,              0.2479,            0.043104,            0.013371,            0.007617,           0.0098213,           0.0098213,           0.0098213
                  20,            0.045547,            0.022471,           0.0040514,             0.58692,             0.43702,             0.46787,             0.23923,            0.042835,            0.012809,           0.0062409,           0.0098011,           0.0098011,           0.0098011
                  21,            0.045518,            0.022162,            0.004242,             0.65498,             0.43199,             0.47294,             0.25029,            0.041455,             0.01246,           0.0052677,           0.0097798,           0.0097798,           0.0097798
                  22,            0.045204,            0.022012,           0.0037984,             0.69253,             0.42782,             0.51168,             0.25659,            0.041632,            0.012638,           0.0051632,           0.0097574,           0.0097574,           0.0097574
                  23,            0.044384,            0.022222,            0.003761,             0.66527,              0.4083,             0.49688,             0.26208,            0.041711,            0.012603,           0.0054585,            0.009734,            0.009734,            0.009734
                  24,            0.044366,            0.021517,           0.0035522,             0.60955,             0.45831,             0.51877,             0.28637,            0.040672,            0.012606,           0.0062986,           0.0097095,           0.0097095,           0.0097095
                  25,            0.044633,            0.021777,           0.0034003,             0.65812,             0.40864,             0.49161,             0.25845,            0.040606,            0.012224,           0.0054009,            0.009684,            0.009684,            0.009684
                  26,            0.043765,            0.021707,           0.0034691,             0.65236,             0.45606,             0.54402,             0.28501,            0.040505,            0.012267,           0.0048013,           0.0096575,           0.0096575,           0.0096575
                  27,            0.043631,            0.021442,           0.0035489,             0.60096,              0.5282,             0.50263,             0.27258,            0.041318,            0.012245,           0.0055018,           0.0096299,           0.0096299,           0.0096299
                  28,            0.044063,            0.021684,           0.0034137,              0.6618,             0.47527,             0.53763,              0.2794,            0.040355,            0.012335,           0.0047347,           0.0096013,           0.0096013,           0.0096013
                  29,            0.043634,            0.021384,           0.0032163,             0.66811,             0.43758,             0.51477,             0.28128,            0.040138,            0.012147,           0.0049662,           0.0095717,           0.0095717,           0.0095717
                  30,            0.043579,             0.02153,           0.0030219,             0.66154,             0.47426,             0.54992,             0.30243,            0.039297,            0.012102,           0.0047413,           0.0095411,           0.0095411,           0.0095411
                  31,            0.042437,            0.021366,           0.0031477,             0.63269,             0.48534,             0.52306,             0.28955,             0.03891,            0.012018,           0.0048786,           0.0095095,           0.0095095,           0.0095095
